Alpha Clicks,Alpha Conversions,Compiled,Beta Impressions,Beta Clicks,Compiled,Search term,Match type,Added/Excluded,Campaign,Type,Ad group,Impr.,Clicks,CTR,Currency code,Cost,Conversions,Cost / conv.,Conv. rate
Flag,Flag,FlagFlag,Flag,,Flag,blueboard,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Core,"1,272",323,25.39%,USD,281,13,23,3.87%
Flag,Flag,FlagFlag,Flag,,Flag,https hertzrecognitions awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,71,29,40.85%,USD,68,2,34,6.90%
Flag,Flag,FlagFlag,Flag,,Flag,blueboard careers,Phrase match,None,Google_Search_Brand_AllGeos_Beta,Beta,Brand Core,14,4,28.57%,USD,17,2,8,50.00%
Flag,,Flag,Flag,,Flag,blue board,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Core,668,79,11.83%,USD,125,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee benefits,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,659,22,3.34%,USD,118,0,0,0.00%
Flag,,Flag,Flag,,Flag,how to motivate employees,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,575,60,10.43%,USD,109,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,436,14,3.21%,USD,155,1,155,7.14%
Flag,,Flag,Flag,,Flag,work anniversary gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,377,40,10.61%,USD,159,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,318,19,5.97%,USD,92,0,0,0.00%
Flag,,Flag,Flag,,Flag,motivational new year message to employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,307,23,7.49%,USD,60,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee retention,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee retention,289,14,4.84%,USD,46,1,46,7.14%
Flag,,Flag,Flag,,Flag,corporate gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,263,21,7.98%,USD,106,0,0,0.00%
Flag,,Flag,Flag,,Flag,spiff,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Spiffs,228,6,2.63%,USD,27,0,0,0.00%
Flag,,Flag,Flag,,Flag,hertzrecognitions awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,209,49,23.44%,USD,123,0,0,0.00%
Flag,,Flag,Flag,,Flag,employer branding,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employer brand,199,7,3.52%,USD,30,1,30,14.29%
Flag,,Flag,Flag,,Flag,employee recognition programs,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,197,20,10.15%,USD,507,0,0,0.00%
Flag,,Flag,Flag,,Flag,referral program,Exact match,Added,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,196,4,2.04%,USD,29,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee appreciation gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,188,12,6.38%,USD,52,0,0,0.00%
Flag,,Flag,Flag,,Flag,retirement gift ideas,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,168,6,3.57%,USD,7,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee benefits,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha_eCPC,Alpha,Perks,163,8,4.91%,USD,96,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee incentive programs,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,145,10,6.90%,USD,145,0,0,0.00%
Flag,,Flag,Flag,,Flag,work anniversary,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,144,6,4.17%,USD,34,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee perks,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,134,13,9.70%,USD,77,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition examples,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,123,15,12.20%,USD,30,0,0,0.00%
Flag,,Flag,Flag,,Flag,corporate perks,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,123,14,11.38%,USD,26,0,0,0.00%
Flag,,Flag,Flag,,Flag,corporate perks,Exact match,Added,Google_Search_NB_AllGeos_Alpha_eCPC,Alpha,Perks,109,17,15.60%,USD,73,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee appreciation,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Appreciation,109,7,6.42%,USD,23,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee appreciation ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,107,5,4.67%,USD,23,0,0,0.00%
Flag,,Flag,Flag,,Flag,motivating employees,Exact match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee motivation,97,9,9.28%,USD,28,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee motivation,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,97,7,7.22%,USD,23,0,0,0.00%
Flag,,Flag,Flag,,Flag,retirement gift,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,96,7,7.29%,USD,10,0,0,0.00%
Flag,,Flag,Flag,,Flag,corporate wellness programs,Exact match,Added,Google_Search_NB_Products_Beta,Beta,wellbeing incentives,93,7,7.53%,USD,49,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee referral program,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Referral,92,7,7.61%,USD,33,0,0,0.00%
Flag,,Flag,Flag,,Flag,managing millennials,Exact match,Added,Google_Search_NB_AllGeos_Beta,Beta,millennials,92,5,5.43%,USD,26,0,0,0.00%
Flag,,Flag,Flag,,Flag,reward 1 spot,Broad match,None,Google_Search_NB_Products_Beta,Beta,spot recognition,89,20,22.47%,USD,60,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee referral program,Phrase match,None,Google_Search_NB_AllGeos_Beta_tCPA,Beta,Referral,86,8,9.30%,USD,28,0,0,0.00%
Flag,,Flag,Flag,,Flag,motivational new year message from ceo to employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,82,5,6.10%,USD,13,0,0,0.00%
Flag,,Flag,Flag,,Flag,workhuman,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,79,5,6.33%,USD,41,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee retention strategies,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee retention,77,7,9.09%,USD,18,0,0,0.00%
Flag,,Flag,Flag,,Flag,staff appreciation ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,76,10,13.16%,USD,45,0,0,0.00%
Flag,,Flag,Flag,,Flag,incentive programs,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Incentive,73,5,6.85%,USD,15,0,0,0.00%
Flag,,Flag,Flag,,Flag,wellness programs at work,Exact match,Added,Google_Search_NB_Products_Beta,Beta,wellbeing incentives,71,4,5.63%,USD,27,0,0,0.00%
Flag,,Flag,Flag,,Flag,corporate awards,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Employee Awards,69,7,10.14%,USD,71,0,0,0.00%
Flag,,Flag,Flag,,Flag,retention strategies,Phrase match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee retention,68,4,5.88%,USD,11,0,0,0.00%
Flag,,Flag,Flag,,Flag,how to retain employees,Phrase match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee retention,62,7,11.29%,USD,18,0,0,0.00%
Flag,,Flag,Flag,,Flag,recognition awards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,60,11,18.33%,USD,30,0,0,0.00%
Flag,,Flag,Flag,,Flag,spiff,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha_eCPC,Alpha,Spiffs,59,4,6.78%,USD,38,0,0,0.00%
Flag,,Flag,Flag,,Flag,terryberry,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,57,4,7.02%,USD,28,0,0,0.00%
Flag,,Flag,Flag,,Flag,ways to motivate employees,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,56,5,8.93%,USD,9,0,0,0.00%
Flag,,Flag,Flag,,Flag,employee recognition gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,52,5,9.62%,USD,22,1,22,20.00%
Flag,,Flag,Flag,,Flag,perks com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Perks,52,10,19.23%,USD,16,0,0,0.00%
Flag,,Flag,Flag,,Flag,retirement gifts,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Retirement,52,4,7.69%,USD,4,0,0,0.00%
Flag,,Flag,Flag,,Flag,perks com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,50,6,12.00%,USD,19,0,0,0.00%
