Alpha Clicks,Alpha Conversions,Compiled,Beta Impressions,Beta Clicks,Compiled,Search term,Match type,Added/Excluded,Campaign,Type,Ad group,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate,Campaign type
Flag,Flag,FlagFlag,Flag,,Flag,blueboard,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Core,282,1148,0.25,USD,0.28,80.32,6,13.39,0.02,Search
Flag,Flag,FlagFlag,Flag,,Flag,employee recognition programs,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,14,294,0.05,USD,16.93,237.04,3,79.01,0.21,Search
Flag,Flag,FlagFlag,Flag,,Flag,work anniversary gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Anniversary,39,256,0.15,USD,2.64,103.04,2,51.52,0.05,Search
Flag,Flag,FlagFlag,Flag,,Flag,employee anniversary gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Anniversary,9,81,0.11,USD,4.04,36.34,2,18.17,0.22,Search
Flag,,Flag,Flag,,Flag,gifts for employees,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,169,2191,0.08,USD,1.66,280.33,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee gift ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,98,1208,0.08,USD,1.84,180.13,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,98,1041,0.09,USD,2.02,197.55,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee benefits,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,22,858,0.03,USD,6.10,134.20,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gift ideas for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,82,827,0.10,USD,1.70,139.01,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,perkspot,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,35,634,0.06,USD,6.94,243.01,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best employee gifts 2019,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,70,619,0.11,USD,1.79,125.32,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,how to motivate employees,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,60,578,0.10,USD,1.72,102.97,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,blue board,Exact match,Added,Google_Search_Brand_AllGeos_Alpha,Alpha,Brand Core,65,570,0.11,USD,1.14,74.04,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee recognition,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,13,541,0.02,USD,12.00,155.96,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,unique office gifts for coworkers,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,31,483,0.06,USD,1.06,32.81,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,referral program,Exact match,Added,Google_Search_NB_AllGeos_Charlie,Charlie,Referral,9,470,0.02,USD,3.32,29.92,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best gifts for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,46,429,0.11,USD,1.63,75.14,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,corporate gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,18,407,0.04,USD,2.72,48.88,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee recognition ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,16,348,0.05,USD,3.30,52.77,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best employee gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,25,339,0.07,USD,1.95,48.79,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee appreciation gifts,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,22,336,0.07,USD,3.07,67.45,1,67.45,0.05,Search
Flag,,Flag,Flag,,Flag,corporate perks,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,32,329,0.10,USD,2.22,70.88,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee perks,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Perks,20,311,0.06,USD,6.09,121.83,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee awards,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Employee Awards,11,301,0.04,USD,5.84,64.25,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee retention,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee retention,8,292,0.03,USD,3.31,26.47,1,26.47,0.13,Search
Flag,,Flag,Flag,,Flag,spiff,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Spiffs,7,262,0.03,USD,4.08,28.53,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee recognition examples,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Recognition,26,236,0.11,USD,2.06,53.56,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,holiday gifts for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,9,213,0.04,USD,2.41,21.72,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,bonusly,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,18,210,0.09,USD,8.62,155.12,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,managing millennials,Exact match,Added,Google_Search_NB_AllGeos_Beta,Beta,millennials,10,210,0.05,USD,3.30,32.96,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employer branding,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employer brand,9,207,0.04,USD,3.92,35.28,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gifts for staff,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,22,189,0.12,USD,1.72,37.87,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,globoforce,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,5,173,0.03,USD,8.88,44.41,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee incentive programs,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Incentive,12,166,0.07,USD,10.31,123.74,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,workhuman,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,4,157,0.03,USD,7.32,29.27,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gifts for employees appreciation,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,9,154,0.06,USD,2.03,18.26,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,terryberry,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,5,150,0.03,USD,5.68,28.41,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,motivating employees,Exact match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee motivation,15,148,0.10,USD,2.64,39.62,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee recognition awards,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Employee Awards,5,145,0.03,USD,6.47,32.33,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee referral program,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Referral,8,143,0.06,USD,4.48,35.83,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gift for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,11,140,0.08,USD,2.12,23.30,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee motivation,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee motivation,7,129,0.05,USD,3.23,22.60,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,motivational new year message to employees,Broad match,None,Google_Search_NB_Resources_Beta,Beta,employee motivation,9,126,0.07,USD,2.64,23.72,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee retention strategies,Exact match,Added,Google_Search_NB_Resources_Beta,Beta,employee retention,6,115,0.05,USD,2.85,17.07,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee recognition gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,18,114,0.16,USD,5.40,97.22,1,97.22,0.06,Search
Flag,,Flag,Flag,,Flag,employee gifts ideas,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,15,114,0.13,USD,1.50,22.54,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,great gifts for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,7,112,0.06,USD,2.29,16.02,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,gift ideas for employees on a budget,Broad match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,4,107,0.04,USD,1.77,7.08,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee gift ideas,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,9,104,0.09,USD,1.76,15.88,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,good gifts for employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,11,102,0.11,USD,1.41,15.54,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,employee appreciation ideas,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Appreciation,6,100,0.06,USD,3.86,23.17,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,corporate awards,Exact match,Added,Google_Search_NB_AllGeos_Alpha,Alpha,Employee Awards,6,97,0.06,USD,6.40,38.42,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,awardco,Exact match,Added,Google_Search_NB_Competitor_AllGeos_Alpha,Alpha,Competitor,4,93,0.04,USD,6.82,27.27,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,how to retain employees,Phrase match (close variant),None,Google_Search_NB_Resources_Beta,Beta,employee retention,9,90,0.10,USD,3.27,29.39,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,incentive programs,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Incentive,5,90,0.06,USD,3.98,19.90,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,riversphiladelphia awardco com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Recognition,25,89,0.28,USD,2.06,51.45,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,office awards,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Employee Awards,5,82,0.06,USD,1.79,8.95,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,personalized gifts for employees,Phrase match (close variant),None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,6,81,0.07,USD,2.16,12.95,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,best corporate gifts,Phrase match,None,Google_Search_NB_AllGeos_Beta,Beta,Gifts,8,79,0.10,USD,2.18,17.46,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,www peopleareeverything com,Broad match,None,Google_Search_NB_AllGeos_Charlie,Charlie,Rewards,40,77,0.52,USD,1.59,63.67,2,38.20,0.04,Search
Flag,,Flag,Flag,,Flag,gifts for your employees,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,11,77,0.14,USD,1.44,15.84,0,0.00,0.00,Search
Flag,,Flag,Flag,,Flag,staff gifts,Exact match (close variant),None,Google_Search_NB_AllGeos_Alpha,Alpha,Gifts,10,77,0.13,USD,1.73,17.26,0,0.00,0.00,Search
