Ad Concatenation,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Description,Description 2,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Category,Ad group,Status,Clicks,Impr.,CTR,Avg. CPC,Cost,Conversions,Cost / conv.,Conv. rate
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Rewards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Rewards&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Rewards,Approved,3,43,6.98%,4.44,13.32,0,0.00,0.00%
"Blueboard Experiential Rewards;Motivating Spiff Rewards;A Better Way to Reward Talent;Cash Bonuses Aren't Motivating, Crush Quotas with Blueboard Experiential Rewards.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Blueboard Experiential Rewards,Motivating Spiff Rewards,A Better Way to Reward Talent,"Cash Bonuses Aren't Motivating, Crush Quotas with Blueboard Experiential Rewards.","Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Spiffs&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Spiffs,Approved,0,2,0.00%,--,0.00,0,0.00,0.00%
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Incentive,Travel,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Travel&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Travel,Approved,2,72,2.78%,2.34,4.68,0,0.00,0.00%
Blueboard Spiff Program;Rewards That Turn OOO to OMG.;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,Blueboard Spiff Program,Rewards That Turn OOO to OMG.,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Spiff,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Spiffs&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Spiffs,Approved,1,27,3.70%,1.76,1.76,0,0.00,0.00%
"Unique Gifts For Employees;Celebrate Your Best Employees;Employee Gift Ideas;Your Employees Want Experiences. Let Them Choose From Over 100+ Curated Choices.;Reward Top Talent with an Experience - Spa Day, Music Lesson, Bucket List Travel.",Expanded text ad,https://www.blueboard.com/,Unique Gifts For Employees,Celebrate Your Best Employees,Employee Gift Ideas,Your Employees Want Experiences. Let Them Choose From Over 100+ Curated Choices.,"Reward Top Talent with an Experience - Spa Day, Music Lesson, Bucket List Travel.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Gifts&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Gifts,Approved,565,5975,9.46%,1.72,969.92,0,0.00,0.00%
Blueboard Employee Gifts;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Gifts,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Gifts,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Gifts&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Gifts,Approved,30,775,3.87%,2.52,75.73,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Spiff,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Travel&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Spiffs,Approved,4,121,3.31%,6.20,24.79,0,0.00,0.00%
"Blueboard Employee Rewards;Reward with Blueboard;A Better Way to Reward Talent;Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Blueboard Employee Rewards,Reward with Blueboard,A Better Way to Reward Talent,Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.,"Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Reviews&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Reviews,Approved,0,4,0.00%,--,0.00,0,0.00,0.00%
Blueboard Incentive Travel;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Incentive Travel,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Incentive,Travel,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Travel&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Travel,Approved,5,145,3.45%,6.63,33.13,1,33.13,20.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Celebrate,Employees,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Employee%20Awards&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Celebrate Employee,Approved,0,1,0.00%,--,0.00,0,0.00,0.00%
Blueboard Employee Awards;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Awards,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Employee,Awards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Employee%20Awards&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Employee Awards,Approved,2,104,1.92%,3.74,7.47,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Incentive,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Spiffs&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Sales Incentive,Approved,3,146,2.05%,3.64,10.93,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Spiff,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Beta&utm_term=Travel&utm_content={device},--,,Google_Search_NB_AllGeos_Beta,NB,Spiffs,Approved,16,683,2.34%,4.23,67.64,0,0.00,0.00%
"Blueboard Employee Rewards;Reward with Blueboard;A Better Way to Reward Talent;Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Blueboard Employee Rewards,Reward with Blueboard,A Better Way to Reward Talent,Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.,"Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_Brand_AllGeos_Alpha&utm_term=Brand%20Recognition&utm_content={device},--,,Google_Search_Brand_AllGeos_Alpha,Brand,Brand Recognition,Approved,1,2,50.00%,19.30,19.30,0,0.00,0.00%
Blueboard Employee Awards;Rewards That Turn OOO to OMG.;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,Blueboard Employee Awards,Rewards That Turn OOO to OMG.,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Employee,Awards,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Employee%20Awards&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Employee Awards,Approved,44,1519,2.90%,2.67,117.29,0,0.00,0.00%
DKI;Rewards That Wow;A Better Way to Reward Talent;Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.;Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Expanded text ad,https://www.blueboard.com/,DKI,Rewards That Wow,A Better Way to Reward Talent,Give Your Rockstars the Rockstar Treatment With Blueboard's Experiential Rewards Platform.,Excite Your Employees With One-Of-A-Kind to Once-In-A-Lifetime Experiences. Request Info.,Incentive,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Spiffs&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Sales Incentive,Approved,3,81,3.70%,9.06,27.17,1,54.34,16.67%
DKI;Give Better. Get Better.;A Better Way to Reward Talent;Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.;Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Expanded text ad,https://www.blueboard.com/,DKI,Give Better. Get Better.,A Better Way to Reward Talent,Blueboard Makes Giving Meaningful Gifts at Scale Easy. Build Engagement with Experiences.,Gift Hand-Curated Experiences That Create Lasting Memories. Request a Demo.,Incentive,Program,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Alpha&utm_term=Sales%20Incentive&utm_content={device},--,,Google_Search_NB_AllGeos_Alpha,NB,Sales Incentive,Approved,1,13,7.69%,10.71,10.71,0,0.00,0.00%
"Unique Sales Incentive Ideas;Blueboard Experiential Rewards;A Better Way to Reward Talent;Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.;Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Expanded text ad,https://www.blueboard.com/,Unique Sales Incentive Ideas,Blueboard Experiential Rewards,A Better Way to Reward Talent,Blueboard Is An Experiential Rewards Platform With Hundreds Of Curated Choices.,"Employee Appreciation Rewards to Keep your Employee Happy, Engaged and Motivated.",Blueboard,--,No,,{lpurl}?utm_source=google&utm_medium=cpc&utm_campaign=Google_Search_NB_AllGeos_Charlie&utm_term=Sales%20Incentive&utm_content={device},--,,Google_Search_NB_AllGeos_Charlie,NB,Sales Incentive,Approved,15,322,4.66%,1.55,23.28,0,0.00,0.00%
